link,name,Актеры,Время,Год,Жанр,Режиссер,Слоган,Страна
['https://go.utorr.cc/fantastika/5174-madam-pautina-2024.html'],Мадам Паутина,"Дакота Джонсон,  Сидни Суини,  Изабела Мерсед,  Селеста О’Коннор,  Тахар Рахим,  Майк Эппс,  Эмма Робертс,  Адам Скотт,  Керри Бише,  Заша Мэмет",,2024,"фантастика,  боевик,  приключения",С.Дж. Кларксон,,"США,  Канада,  Мексика"
['https://go.utorr.cc/fantastika/5153-korolevstvo-zverey-2023.html'],Королевство зверей,"Ромен Дюрис,  Поль Киршер,  Адель Экзаркопулос,  Том Мерсье,  Билли Блэйн,  Ксавьер Обер,  Саадиа Бентайеб,  Габриэль Кабальеро,  Илиана Хелифа,  Поль Мугуруза",,2023,"ужасы,  фантастика,  драма,  детектив,  приключения",Тома Кайе,«Ты не сможешь победить свою истинную природу»,"Франция,  Бельгия"
['https://go.utorr.cc/boevik/5142-territoriya-zla-2024.html'],Территория зла,"Лиам Хемсворт,  Рассел Кроу,  Люк Хемсворт,  Рики Уиттл,  Майло Вентимилья,  Chika Ikogwe,  Дэниэл Макферсон,  Роберт Рабия,  Джек Финстерер,  Chris Masters Mah",,2024,"боевик,  криминал",Уильям Юбэнк,,США
['https://go.utorr.cc/fantasy/5171-deva-i-drakon-2024.html'],Дева и дракон,"Милли Бобби Браун,  Шохре Агдашлу,  Рэй Уинстон,  Анджела Бассетт,  Брук Картер,  Ник Робинсон,  Робин Райт,  Мило Твоми,  Николь Джозеф,  Патрис Найамбана",,2024,"фэнтези,  боевик",Хуан Карлос Фреснадильо,,США
['https://go.utorr.cc/serial/5166-dzhentlmeny-serial0-2024.html'],Джентльмены (сериал),"Тео Джеймс,  Кая Скоделарио,  Дэниэл Ингс,  Джоэли Ричардсон,  Винни Джонс,  Майкл Ву,  Гарри Гудвинс,  Stephane Fichet,  Дин Дж. Логан,  Шанель Крессвелл",50 мин,2024,"боевик,  комедия,  криминал","Дэвид Кэффри,  Эрен Криви,  Нима Нуризаде",,"Великобритания,  США"
['https://go.utorr.cc/fantastika/5158-kod-8-chast-2-2024.html'],Код 8: Часть 2,"Робби Амелл,  Стивен Амелл,  Аарон Абрамс,  Джин Юн,  Сирена Гуламгаус,  Алекс Маллари мл.,  Натали Ликонти,  Серена Пармар,  Мо Жюди-Ламур,  Mikayla SwamiNathan",,2024,"фантастика,  боевик,  триллер,  драма,  криминал",Джефф Чан,,"США,  Канада"
['https://go.utorr.cc/boevik/5164-argayl-supershpion-2024.html'],Аргайл: Супершпион,"Брайс Даллас Ховард,  Сэм Рокуэлл,  Брайан Крэнстон,  Генри Кавилл,  Кэтрин О’Хара,  София Бутелла,  Дуа Липа,  Ариана Дебоуз,  Джон Сина,  Сэмюэл Л. Джексон",,2024,"боевик,  комедия",Мэттью Вон,,"Великобритания,  США"
['https://go.utorr.cc/fantastika/5161-kosmonavt-2024.html'],Космонавт,"Адам Сэндлер,  Кэри Маллиган,  Пол Дано,  Кунал Нэйэр,  Изабелла Росселлини,  Лена Олин,  Petr Papanek,  Мариан Роден,  Зузана Стивинова,  Шинейд Фелпс",,2024,"фантастика,  драма,  приключения",Йохан Ренк,,"США,  Чехия"
['https://go.utorr.cc/drama/5160-mister-bleyk-k-vashim-uslugam-2023.html'],Мистер Блейк к вашим услугам,"Джон Малкович,  Фанни Ардан,  Эмили Декенн,  Филипп Бас,  Евгения Анселен,  Аль Гинтер,  Анн Брионн,  Кристел Хенон,  Дэниэл Ковач",,2023,"драма,  мелодрама,  комедия",Жиль Легардинье,,"Франция,  Люксембург"
['https://go.utorr.cc/boevik/5143-iz-glubiny-2024.html'],Из глубины,"Софи Макинтош,  Колм Мини,  Филлис Логан,  Carlos Agualusa,  Peppijna Dalli,  Дэвид Самартин,  Скотт Кокер,  Джеремия Амур,  Уильям Аттенборо,  Джеймс Кэрролл Джордан",,2024,"боевик,  триллер,  драма,  приключения",Клаудио Фах,,США
['https://go.utorr.cc/drama/5154-bednye-neschastnye01-2023.html'],Бедные-несчастные,"Эмма Стоун,  Уиллем Дефо,  Марк Руффало,  Рами Юссеф,  Ханна Шигулла,  Джеррод Кармайкл,  Кэтрин Хантер,  Сьюзи Бемба,  Кристофер Эбботт,  Вики Пеппердин",,2023,"драма,  комедия,  фантастика",Йоргос Лантимос,,"Ирландия,  Великобритания,  США,  Венгрия"
['https://go.utorr.cc/serial/5151-avatar-legenda-ob-aange-serial-2024.html'],Аватар: Легенда об Аанге (сериал),"Гордон Кормье,  Киавентио,  Иэн Аусли,  Даллас Лю,  Пол Ли,  Дэниэл Дэ Ким,  Мэттью Ян Кинг,  Кен Люн,  Руй Искандар,  Элизабет Ю",,2024,"фэнтези,  боевик,  драма,  комедия,  приключения","Майкл Гои,  Розанна Лян,  Джаббар Райсани",,США
['https://go.utorr.cc/boevik/5149-karayuschaya-dlan-2024.html'],Карающая длань,"Орландо Блум,  Энди Макдауэлл,  Гаррет Диллахант,  Брайан Джерати,  Джеймс Лэфферти,  Джереми Рэчфорд,  Скотт Хейз,  Александра Парк,  Николас Логан,  Мо",,2024,"боевик,  триллер","Эшом Нелмс,  Иэн Нелмс",,США
['https://go.utorr.cc/triller/5146-ledyanoy-strah-2023.html'],Ледяной страх,"Ян Туаль,  Уилльям Куклис,  Райли Банцер,  Аллен Лич,  Нина Бергман,  Джеймс Бартон,  Джил Ботельо,  Кэт Фуллертон,  Сидни Хендрикс",,2023,триллер,Себастьен Друэн,«Ужас внутри. Смерть снаружи»,"Великобритания,  Канада"
['https://go.utorr.cc/fantastika/5144-illyuziya-prevoshodstva-2023.html'],Иллюзия превосходства,"Джорджина Кэмпбелл,  Эймон Фэррен,  Марк Роули,  Амара Каран,  Натаниель Паркер,  Том Белл,  Элиза Глок,  Эдмунд Кингсли,  Адиль Акрам,  Дженис Ахерн",,2023,"фантастика,  триллер",Спенсер Браун,,Великобритания
